seqid	type	start	end	strand	id	name	product	ec_number	kegg	dbxref
NA	CDS	55	744	+	MGYG000000754_01200	regX3_2	Sensory transduction protein regX3	NA	-	NA
NA	CDS	11270	12259	-	MGYG000002362_00935	fba	Fructose-bisphosphate aldolase	NA	ko:K01624	NA
NA	CDS	32315	33391	+	MGYG000003806_00740	prfA	Peptide chain release factor 1	NA	ko:K02835	NA
NA	CDS	12273	13484	-	MGYG000004198_00640	NA	hypothetical protein	NA	ko:K15635	NA
NA	CDS	13603	13911	-	MGYG000003107_00572	rpsJ	30S ribosomal protein S10	NA	ko:K02946	NA
NA	CDS	25865	25984	-	MGYG000002031_00895	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	114053	114916	-	MGYG000004237_00471	NA	hypothetical protein	NA	ko:K03660	NA
NA	CDS	59668	60099	-	MGYG000003590_01829	NA	hypothetical protein	NA	-	NA
NA	CDS	5090	6256	+	MGYG000002613_01162	gmd	GDP-mannose 4,6-dehydratase	NA	ko:K01711	NA
NA	CDS	27408	27905	+	MGYG000004588_00129	isiB	Flavodoxin	NA	ko:K03839	NA
NA	CDS	8241	8510	-	MGYG000004098_01066	ppk	Polyphosphate kinase	NA	ko:K00937	NA
NA	CDS	406042	406599	-	MGYG000000106_01816	udk_2	Uridine kinase	NA	-	NA
NA	CDS	6059	7423	-	MGYG000002887_00153	ykoD_2	Putative HMP/thiamine import ATP-binding protein YkoD	NA	c(""""ko:K16786"""", """"ko:K16787"""")	NA
NA	CDS	1227223	1228539	+	MGYG000002516_01179	NA	Extracellular serine protease	NA	ko:K12685	NA
NA	CDS	17227	17703	-	MGYG000003835_00834	rpsG	30S ribosomal protein S7	NA	ko:K02992	NA
NA	CDS	13849	14373	-	MGYG000000671_01147	NA	hypothetical protein	NA	-	NA
NA	CDS	72	1460	+	MGYG000004304_00559	patA_2	Peptidoglycan O-acetyltransferase	NA	ko:K19294	NA
NA	CDS	1146	1829	-	MGYG000004644_00689	cobC	Adenosylcobalamin/alpha-ribazole phosphatase	NA	ko:K02226	NA
NA	CDS	159	1709	-	MGYG000002998_01108	NA	hypothetical protein	NA	ko:K14194	NA
NA	CDS	189	557	-	MGYG000000628_01350	rplL	50S ribosomal protein L7/L12	NA	ko:K02935	NA
NA	CDS	997812	998774	+	MGYG000001302.1_02188	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	3340768	3341316	-	MGYG000001482_03415	yacP	putative protein YacP	NA	ko:K06962	NA
NA	CDS	17269	20241	-	MGYG000001763_01453	susC_6	TonB-dependent receptor SusC	NA	-	NA
NA	CDS	2211	2354	-	MGYG000000234_01867	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	352202	352516	-	MGYG000001341_01598	NA	hypothetical protein	NA	-	NA
NA	CDS	3166	4983	+	MGYG000001773_00701	yheI	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI	NA	ko:K18889	NA
NA	CDS	17220	17858	-	MGYG000002799_00790	cwlD	Germination-specific N-acetylmuramoyl-L-alanine amidase	NA	ko:K01448	NA
NA	CDS	16566	17789	+	MGYG000003208_05010	NA	hypothetical protein	NA	-	NA
NA	CDS	767	1096	-	MGYG000003300_00305	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	15600	16481	-	MGYG000002858_01087	btuD_8	Vitamin B12 import ATP-binding protein BtuD	NA	ko:K01990	NA
NA	CDS	21226	22998	-	MGYG000002168_01805	NA	hypothetical protein	NA	ko:K03307	NA
NA	CDS	37824	38558	+	MGYG000001988_00365	cobB_1	NAD-dependent protein deacetylase	NA	-	NA
NA	CDS	70	318	-	MGYG000003016_03337	proS_2	Proline--tRNA ligase	NA	ko:K01881	NA
NA	CDS	17850	18605	-	MGYG000003925_01034	dapB	4-hydroxy-tetrahydrodipicolinate reductase	NA	ko:K00215	NA
NA	CDS	66	1166	-	MGYG000001072_02005	NA	hypothetical protein	NA	-	NA
NA	CDS	20360	20935	+	MGYG000003133_02926	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	41809	42324	-	MGYG000000370_01678	NA	hypothetical protein	NA	-	NA
NA	CDS	52276	53346	+	MGYG000004479_00800	rluD_1	Ribosomal large subunit pseudouridine synthase D	NA	ko:K06180	NA
NA	CDS	393	668	+	MGYG000000759_01190	NA	hypothetical protein	NA	-	NA
NA	CDS	15376	15567	-	MGYG000004481_00511	rpmB	50S ribosomal protein L28	NA	ko:K02902	NA
NA	CDS	583172	584641	-	MGYG000002538_00546	dauA_1	C4-dicarboxylic acid transporter DauA	NA	ko:K01673	NA
NA	CDS	115442	116326	+	MGYG000002019_00445	NA	hypothetical protein	NA	-	NA
NA	CDS	5854	6918	-	MGYG000003335_00259	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	NA	ko:K02563	NA
NA	CDS	3879	4490	+	MGYG000003795_01104	purN	Phosphoribosylglycinamide formyltransferase	NA	ko:K11175	NA
NA	CDS	22471	24309	+	MGYG000004597_00530	lepA_1	Elongation factor 4	NA	ko:K03596	NA
NA	CDS	3754	4770	+	MGYG000002984_00267	gpsA_1	Glycerol-3-phosphate dehydrogenase [NAD(P)+]	NA	ko:K00057	NA
NA	CDS	632	2023	-	MGYG000002706_02208	mfd	Transcription-repair-coupling factor	NA	ko:K03723	NA
NA	CDS	43587	44732	+	MGYG000001671_00481	nagA_2	N-acetylglucosamine-6-phosphate deacetylase	NA	ko:K01443	NA
NA	ncRNA	26805	26939	+	MGYG000003378_11_ncRNA13	NA	sok antitoxin (CssrC)	NA	character(0)	NA
NA	CDS	454903	455394	-	MGYG000001542_03734	dedA_2	Protein DedA	NA	-	NA
NA	CDS	32871	33935	+	MGYG000004593_01604	lapB	Lipopolysaccharide assembly protein B	NA	-	NA
NA	CDS	212	823	+	MGYG000000082_03162	hin_4	DNA-invertase hin	NA	-	NA
NA	CDS	34	3795	+	MGYG000002758_00012	NA	hypothetical protein	NA	-	NA
NA	CDS	356	4009	-	MGYG000001821_02066	NA	hypothetical protein	NA	-	NA
NA	CDS	163	612	+	MGYG000004275_01088	lrpC	HTH-type transcriptional regulator LrpC	NA	ko:K03719	NA
NA	CDS	5150	6472	+	MGYG000001045_03240	NA	hypothetical protein	NA	-	NA
NA	CDS	21433	22107	+	MGYG000004070_01552	tmk	Thymidylate kinase	NA	ko:K00943	NA
NA	CDS	1340802	1342574	-	MGYG000002296_01213	aspS	Aspartate--tRNA ligase	NA	ko:K01876	NA
NA	CDS	4538	5560	+	MGYG000000215_01640	ilvE	Branched-chain-amino-acid aminotransferase	NA	ko:K00826	NA
NA	CDS	173041	173409	+	MGYG000000323_01211	NA	hypothetical protein	NA	-	NA
NA	CDS	67112	67618	-	MGYG000004203_00485	NA	hypothetical protein	NA	-	NA
NA	CDS	73851	74513	+	MGYG000000125_01510	sapB	Protein SapB	NA	ko:K07507	NA
NA	CDS	48170	50740	+	MGYG000002707_00602	mop	Aldehyde oxidoreductase	NA	-	NA
NA	CDS	127593	128627	+	MGYG000001358_00135	glgC	Glucose-1-phosphate adenylyltransferase	NA	-	NA
NA	CDS	54	1322	-	MGYG000003734_05054	hyuC	N-carbamoyl-L-amino-acid hydrolase	NA	ko:K06016	NA
NA	CDS	2877	3104	+	MGYG000003131_02327	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	17734	18789	+	MGYG000000756_01094	gap	Glyceraldehyde-3-phosphate dehydrogenase	NA	ko:K00134	NA
NA	CDS	168341	169969	+	MGYG000000852_00132	groL	60 kDa chaperonin	NA	ko:K04077	NA
NA	CDS	4462	6093	+	MGYG000003897_00203	NA	hypothetical protein	NA	ko:K00693	NA
NA	CDS	9114	10115	+	MGYG000002038_00093	nqrB	Na(+)-translocating NADH-quinone reductase subunit B	NA	c(""""ko:K00347"""", """"ko:K03614"""", """"ko:K21163"""")	NA
NA	CDS	249	671	+	MGYG000000913_01973	NA	hypothetical protein	NA	-	NA
NA	CDS	28698	29120	-	MGYG000002962_00384	NA	hypothetical protein	NA	-	NA
NA	CDS	45535	46716	-	MGYG000000495_00881	lysN	2-aminoadipate transaminase	NA	ko:K05825	NA
NA	CDS	243913	244950	-	MGYG000001476_00721	hypD	Hydrogenase maturation factor HypD	NA	ko:K04654	NA
NA	CDS	39594	39794	+	MGYG000003922_00252	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	47688	48455	-	MGYG000001289_00518	NA	hypothetical protein	NA	-	NA
NA	CDS	12890	13414	+	MGYG000003516_00578	pyrE_1	Orotate phosphoribosyltransferase	NA	ko:K00762	NA
NA	CDS	274497	275384	+	MGYG000002471_01958	motA_1	Motility protein A	NA	ko:K02556	NA
NA	CDS	2768	3445	+	MGYG000001190_01415	NA	hypothetical protein	NA	ko:K04074	NA
NA	CDS	105499	106668	+	MGYG000000035_02686	ftsZ	Cell division protein FtsZ	NA	ko:K03531	NA
NA	CDS	74344	74811	+	MGYG000001388_01070	NA	hypothetical protein	NA	-	NA
NA	CDS	23238	24254	+	MGYG000002298_01360	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	15569	16522	+	MGYG000003078_00403	dusC	tRNA-dihydrouridine(16) synthase	NA	-	NA
NA	CDS	862	1926	-	MGYG000002685_02579	padG	NADH-dependent phenylglyoxylate dehydrogenase subunit alpha	NA	ko:K00174	NA
NA	CDS	6876	7526	+	MGYG000002170_00865	NA	hypothetical protein	NA	ko:K06346	NA
NA	CDS	1222	1440	-	MGYG000004268_00610	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	4706	6961	+	MGYG000002297_01938	comEC	ComE operon protein 3	NA	ko:K02238	NA
NA	CDS	4145	5332	+	MGYG000000279_01698	bcr_2	Bicyclomycin resistance protein	NA	ko:K07552	NA
NA	CDS	39483	40844	+	MGYG000000854_01350	pdhD	Dihydrolipoyl dehydrogenase	NA	ko:K00382	NA
NA	CDS	4253	5533	-	MGYG000002985_01751	egsA	Glycerol-1-phosphate dehydrogenase [NAD(P)+]	NA	-	NA
NA	CDS	66491	68287	-	MGYG000000610_00728	sppA	Protease 4	NA	ko:K04773	NA
NA	CDS	43755	44507	-	MGYG000001470_00045	yfiC	tRNA1(Val) (adenine(37)-N6)-methyltransferase	NA	c(""""ko:K07461"""", """"ko:K15460"""")	NA
NA	CDS	455123	455524	-	MGYG000001407_00476	NA	hypothetical protein	NA	-	NA
NA	CDS	18352	19536	-	MGYG000000029_02468	tufA	Elongation factor Tu	NA	ko:K02358	NA
NA	CDS	7121	7798	-	MGYG000003209_01627	NA	hypothetical protein	NA	ko:K03218	NA
NA	CDS	13328	14005	-	MGYG000003146_01200	glnM	putative glutamine ABC transporter permease protein GlnM	NA	ko:K10040	NA
NA	CDS	290563	291978	+	MGYG000000046_00265	yjmB	putative symporter YjmB	NA	ko:K03292	NA
NA	CDS	1202	2086	-	MGYG000004163_01965	queG_2	Epoxyqueuosine reductase	NA	ko:K18979	NA
NA	CDS	25725	26477	+	MGYG000002690_01022	glnQ_2	Glutamine transport ATP-binding protein GlnQ	NA	ko:K01929	NA
NA	CDS	17363	19228	-	MGYG000003628_00534	NA	hypothetical protein	NA	-	NA
NA	CDS	12535	12891	+	MGYG000001244_00995	NA	hypothetical protein	NA	-	NA
NA	CDS	199216	200370	+	MGYG000001225_00502	yaaH	Spore germination protein YaaH	NA	ko:K06306	NA
NA	ncRNA	35720	35788	-	MGYG000001948_13_ncRNA11	NA	tRNA	NA	character(0)	NA
NA	CDS	31380	32324	+	MGYG000002290_02961	NA	hypothetical protein	NA	ko:K07139	NA
NA	CDS	41757	42179	-	MGYG000002652_00246	yqgF	Putative pre-16S rRNA nuclease	NA	ko:K07447	NA
NA	CDS	116107	117423	-	MGYG000000165_01373	secY	Protein translocase subunit SecY	NA	ko:K03076	NA
NA	CDS	61004	61417	+	MGYG000000050_00055	NA	hypothetical protein	NA	-	NA
NA	CDS	11894	12466	-	MGYG000001010_00617	NA	putative protein	NA	-	NA
NA	CDS	4	3000	+	MGYG000001942_01575	NA	hypothetical protein	NA	-	NA
NA	CDS	7989	8165	-	MGYG000002264_01821	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	22382	23467	-	MGYG000003592_01425	NA	hypothetical protein	NA	ko:K01448	NA
NA	CDS	13050	13463	-	MGYG000000735_00571	NA	hypothetical protein	NA	-	NA
NA	CDS	111891	113801	-	MGYG000000200_00885	NA	hypothetical protein	NA	-	NA
NA	CDS	86903	87679	-	MGYG000000249_00874	hisF_1	Imidazole glycerol phosphate synthase subunit HisF	NA	ko:K01814	NA
NA	CDS	207276	207797	-	MGYG000002859_00170	NA	hypothetical protein	NA	-	NA
NA	CDS	1356	2006	-	MGYG000000193_03487	NA	5'-nucleotidase	NA	ko:K01091	NA
NA	CDS	4813	5979	+	MGYG000002867_00993	NA	hypothetical protein	NA	-	NA
NA	CDS	65099	66418	+	MGYG000003129_00747	rarA	Replication-associated recombination protein A	NA	ko:K07478	NA
NA	CDS	17449	18375	-	MGYG000000778_01659	axeA	Cephalosporin-C deacetylase	NA	ko:K01060	NA
NA	CDS	55954	56865	-	MGYG000002858_01124	NA	hypothetical protein	NA	-	NA
NA	CDS	43883	44689	+	MGYG000002619_02248	proC	Pyrroline-5-carboxylate reductase	NA	ko:K00286	NA
NA	CDS	108303	108845	-	MGYG000001417_00103	ruvC	Crossover junction endodeoxyribonuclease RuvC	NA	ko:K01159	NA
NA	CDS	21843	22652	-	MGYG000001183_00800	ywpJ	Phosphatase YwpJ	NA	-	NA
NA	CDS	6790	7287	-	MGYG000001663_02346	NA	hypothetical protein	NA	-	NA
NA	CDS	729588	730742	+	MGYG000001510_00824	yhfX	putative protein YhfX	NA	-	NA
NA	CDS	92181	92699	-	MGYG000002608_00933	NA	hypothetical protein	NA	-	NA
NA	CDS	135773	136597	-	MGYG000000345_01793	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	76513	77934	-	MGYG000002928_00300	eriC	Chloride/fluoride channel protein	NA	-	NA
NA	CDS	6087	7028	-	MGYG000002574_01967	nikB_2	Nickel transport system permease protein NikB	NA	-	NA
NA	CDS	79141	80694	-	MGYG000001370_03494	NA	Glycosyl hydrolase family 109 protein 1	NA	-	NA
NA	CDS	1110	1958	-	MGYG000001725_01896	NA	hypothetical protein	NA	ko:K08974	NA
NA	ncRNA	62116	62180	+	MGYG000003410_18_ncRNA9	NA	tRNA	NA	character(0)	NA
NA	CDS	20452	20928	+	MGYG000004557_00686	NA	hypothetical protein	NA	-	NA
NA	CDS	3556	4446	+	MGYG000001076_01666	NA	hypothetical protein	NA	-	NA
NA	CDS	65487	67634	+	MGYG000000062_00059	ptsG	PTS system glucose-specific EIICBA component	NA	c(""""ko:K20116"""", """"ko:K20117"""", """"ko:K20118"""")	NA
NA	CDS	109583	113032	+	MGYG000004781_01246	addB	ATP-dependent helicase/deoxyribonuclease subunit B	NA	ko:K16899	NA
NA	CDS	1397669	1398415	-	MGYG000000258_01323	znuC	High-affinity zinc uptake system ATP-binding protein ZnuC	NA	ko:K09817	NA
NA	CDS	11933	12133	+	MGYG000003355_00619	cspLA_2	Cold shock-like protein CspLA	NA	ko:K03704	NA
NA	CDS	295635	296606	+	MGYG000001350_01451	cobD_1	Cobalamin biosynthesis protein CobD	NA	ko:K02227	NA
NA	CDS	158722	158859	+	MGYG000001489_02815	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	33743	33898	-	MGYG000003930_00779	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	676411	677682	-	MGYG000003144_00604	glgC_1	Glucose-1-phosphate adenylyltransferase	NA	ko:K00975	NA
NA	CDS	71675	72238	-	MGYG000001324_00991	recX	Regulatory protein RecX	NA	ko:K03565	NA
NA	CDS	299259	299666	-	MGYG000002299_00314	psiE	Protein PsiE	NA	ko:K13256	NA
NA	CDS	113264	114601	-	MGYG000001357_00109	NA	hypothetical protein	NA	ko:K07316	NA
NA	CDS	124475	125881	+	MGYG000000150_04064	NA	hypothetical protein	NA	c(""""ko:K07033"""", """"ko:K09014"""")	NA
NA	CDS	2164	2529	-	MGYG000004811_01175	mazF	Endoribonuclease MazF	NA	ko:K07171	NA
NA	CDS	43565	43951	+	MGYG000002524_02744	NA	hypothetical protein	NA	-	NA
NA	CDS	92003	93232	+	MGYG000002463_01576	NA	hypothetical protein	NA	-	NA
NA	CDS	18460	19212	-	MGYG000002216_01380	NA	hypothetical protein	NA	-	NA
NA	CDS	7444	9111	+	MGYG000003763_00956	NA	hypothetical protein	NA	-	NA
NA	CDS	58759	62448	+	MGYG000004737_01127	rhlB	ATP-dependent RNA helicase RhlB	NA	ko:K07462	NA
NA	CDS	12326	12421	-	MGYG000001365_00628	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	773	1063	-	MGYG000001033_00696	sasA_4	Adaptive-response sensory-kinase SasA	NA	ko:K07652	NA
NA	CDS	7584	7826	-	MGYG000002886_00913	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	20971	21696	+	MGYG000001644_00016	NA	hypothetical protein	NA	ko:K00655	NA
NA	CDS	91963	92559	-	MGYG000002529_02260	satP	Succinate-acetate/proton symporter SatP	NA	ko:K07034	NA
NA	CDS	167	1204	+	MGYG000001662_01445	NA	hypothetical protein	NA	-	NA
NA	ncRNA	882456	882536	-	MGYG000001405_1_ncRNA11	NA	BsrC	NA	character(0)	NA
NA	CDS	1319	2428	-	MGYG000001728_01133	NA	hypothetical protein	NA	ko:K00005	NA
NA	CDS	23	1948	-	MGYG000002791_01167	NA	hypothetical protein	NA	-	NA
NA	CDS	55101	56369	-	MGYG000000193_02428	sasA_15	Adaptive-response sensory-kinase SasA	NA	-	NA
NA	CDS	4661	5155	+	MGYG000003036_00498	ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	NA	ko:K01883	NA
NA	CDS	14	1171	+	MGYG000003199_01041	NA	hypothetical protein	NA	-	NA
NA	CDS	34033	34506	-	MGYG000000279_00249	greA	Transcription elongation factor GreA	NA	ko:K03624	NA
NA	CDS	42022	42987	-	MGYG000004015_02483	NA	hypothetical protein	NA	ko:K07058	NA
NA	CDS	125466	126260	-	MGYG000004369_00265	yycJ	Putative metallo-hydrolase YycJ	NA	-	NA
NA	CDS	5716	6882	+	MGYG000004822_01952	NA	hypothetical protein	NA	-	NA
NA	CDS	106187	107191	+	MGYG000002442_02372	NA	hypothetical protein	NA	ko:K02574	NA
NA	CDS	265819	266859	-	MGYG000002361_01602	NA	hypothetical protein	NA	c(""""ko:K07033"""", """"ko:K09015"""")	NA
NA	CDS	2887	3822	+	MGYG000003989_01319	NA	hypothetical protein	NA	ko:K03625	NA
NA	CDS	7196	8407	+	MGYG000003910_01588	recQ	ATP-dependent DNA helicase RecQ	NA	ko:K03654	NA
NA	CDS	7493	7801	+	MGYG000000205_01830	NA	hypothetical protein	NA	-	NA
NA	CDS	16119	17051	+	MGYG000004189_01469	NA	hypothetical protein	NA	ko:K07089	NA
NA	CDS	1771	2571	-	MGYG000001577_01026	NA	Lysine 5,6-aminomutase beta subunit	NA	ko:K18011	NA
NA	CDS	329943	331013	-	MGYG000002439_00321	ilvK	Branched-chain-amino-acid aminotransferase 2	NA	c(""""ko:K00826"""", """"ko:K02619"""")	NA
NA	CDS	2563	3795	+	MGYG000002578_01458	NA	Aspartate kinase	NA	ko:K00928	NA
NA	CDS	2625	3089	-	MGYG000003294_00731	NA	hypothetical protein	NA	ko:K01493	NA
NA	CDS	1002	1295	-	MGYG000002499_04581	NA	hypothetical protein	NA	-	NA
NA	CDS	90357	91802	+	MGYG000000116_02722	NA	hypothetical protein	NA	ko:K03321	NA
NA	CDS	1913629	1915047	-	MGYG000000154_01859	bioB_1	Biotin synthase	NA	ko:K03150	NA
NA	CDS	11444	12550	-	MGYG000003628_01224	dnaN	Beta sliding clamp	NA	ko:K02338	NA
NA	CDS	26556	27581	+	MGYG000001607_01342	NA	hypothetical protein	NA	ko:K03547	NA
NA	CDS	11	1489	+	MGYG000002735_01639	NA	hypothetical protein	NA	ko:K20074	NA
NA	CDS	135017	135913	-	MGYG000003072_02123	panC	Pantothenate synthetase	NA	ko:K01918	NA
NA	CDS	28286	28954	-	MGYG000002949_00927	graR_1	Response regulator protein GraR	NA	-	NA
NA	CDS	107399	108262	+	MGYG000004405_00100	dpaA	Dipicolinate synthase subunit A	NA	ko:K06410	NA
NA	CDS	3928	5499	+	MGYG000002057_01598	sgrR	HTH-type transcriptional regulator SgrR	NA	ko:K02035	NA
NA	CDS	53121	53258	+	MGYG000002684_00293	NA	hypothetical protein	NA	ko:K00657	NA
NA	CDS	9931	10227	-	MGYG000002006_02026	NA	hypothetical protein	NA	ko:K03783	NA
NA	CDS	159	1028	+	MGYG000001668_01273	pdhC	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	NA	ko:K00627	NA
NA	CDS	635	1438	+	MGYG000004154_01857	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	NA	c(""""ko:K02945"""", """"ko:K03527"""")	NA
NA	CDS	108143	109141	+	MGYG000004348_00459	NA	hypothetical protein	NA	ko:K01993	NA
NA	ncRNA	15414	15480	+	MGYG000003879_28_ncRNA9	NA	tRNA	NA	character(0)	NA
NA	CDS	88445	89416	-	MGYG000002279_01759	NA	hypothetical protein	NA	ko:K07052	NA
NA	CDS	3078	3938	-	MGYG000003734_04404	NA	hypothetical protein	NA	ko:K07090	NA
NA	CDS	7	2682	-	MGYG000003823_01587	NA	hypothetical protein	NA	-	NA
NA	CDS	20405	22804	+	MGYG000001995_00153	btuB_2	Vitamin B12 transporter BtuB	NA	ko:K02014	NA
NA	CDS	18590	19273	+	MGYG000000732_01356	NA	hypothetical protein	NA	-	NA
NA	CDS	152578	153669	-	MGYG000002267_01795	NA	hypothetical protein	NA	-	NA
NA	CDS	1496675	1497379	+	MGYG000001360_01307	NA	hypothetical protein	NA	ko:K03630	NA
NA	CDS	68732	69445	-	MGYG000000493_00728	dsbD	Thiol:disulfide interchange protein DsbD	NA	ko:K06196	NA
NA	CDS	3548	4582	+	MGYG000004282_00790	NA	hypothetical protein	NA	-	NA
NA	CDS	2570	3550	-	MGYG000003128_01117	bioB	Biotin synthase	NA	ko:K01012	NA
NA	CDS	273291	274229	-	MGYG000003130_00279	NA	hypothetical protein	NA	-	NA
NA	CDS	148	303	+	MGYG000001912_00308	NA	hypothetical protein	NA	-	NA
NA	CDS	447	1940	-	MGYG000001150_01538	NA	hypothetical protein	NA	-	NA
NA	CDS	745442	746626	+	MGYG000002384_00809	NA	ISL3 family transposase ISLhe2	NA	-	NA
NA	CDS	676452	676763	-	MGYG000001509_01442	gabD1_2	Succinate-semialdehyde dehydrogenase [NADP(+)] 1	NA	c(""""ko:K00128"""", """"ko:K00135"""")	NA
NA	CDS	71524	71964	+	MGYG000000508_00090	rplO	50S ribosomal protein L15	NA	ko:K02876	NA
NA	CDS	23526	25079	-	MGYG000002544_02161	katA	Catalase	NA	ko:K03781	NA
NA	CDS	3540	4400	+	MGYG000002659_00646	yvcJ	Nucleotide-binding protein YvcJ	NA	ko:K06958	NA
NA	CDS	165181	165459	-	MGYG000004397_00156	hup	DNA-binding protein HU	NA	ko:K03530	NA
NA	CDS	193633	194295	-	MGYG000002624_00156	phoU	Phosphate-specific transport system accessory protein PhoU	NA	ko:K02039	NA
NA	CDS	1593	2234	-	MGYG000002859_00005	NA	hypothetical protein	NA	ko:K12511	NA
NA	CDS	11880	12482	-	MGYG000000935_00221	ruvA	Holliday junction ATP-dependent DNA helicase RuvA	NA	ko:K03550	NA
NA	CDS	54955	55824	-	MGYG000001131_00564	NA	hypothetical protein	NA	ko:K00981	NA
NA	CDS	65498	65782	-	MGYG000003539_00482	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	8358	9029	+	MGYG000000251_02840	hssR	Heme response regulator HssR	NA	-	NA
NA	CDS	121739	124180	+	MGYG000000528_00111	gyrB_1	DNA gyrase subunit B	NA	ko:K02470	NA
NA	CDS	216164	217678	+	MGYG000002458_00641	NA	hypothetical protein	NA	ko:K07452	NA
NA	CDS	38482	40371	+	MGYG000000562_01073	glgX	Glycogen operon protein GlgX	NA	ko:K01214	NA
NA	CDS	2798	3406	+	MGYG000004752_00238	NA	hypothetical protein	NA	-	NA
NA	CDS	379	636	-	MGYG000002099_02388	NA	hypothetical protein	NA	-	NA
NA	CDS	50549	51268	-	MGYG000003679_02274	lptD_1	LPS-assembly protein LptD	NA	ko:K09774	NA
NA	CDS	17415	17606	-	MGYG000000227_04412	NA	hypothetical protein	NA	-	NA
NA	CDS	66023	66691	+	MGYG000000186_01317	NA	hypothetical protein	NA	-	NA
NA	CDS	42506	44107	-	MGYG000000806_00457	sdhA_1	8-methylmenaquinol:fumarate reductase flavoprotein subunit	NA	c(""""ko:K00239"""", """"ko:K00244"""", """"ko:K17363"""")	NA
NA	CDS	12550	13968	-	MGYG000001241_00819	murC	UDP-N-acetylmuramate--L-alanine ligase	NA	ko:K01924	NA
NA	CDS	1073	1924	-	MGYG000000892_00484	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	4211	4690	+	MGYG000004184_00109	NA	hypothetical protein	NA	-	NA
NA	CDS	5188	5949	-	MGYG000001386_05099	NA	hypothetical protein	NA	ko:K01470	NA
NA	CDS	210410	211045	-	MGYG000000266_00811	yigZ	IMPACT family member YigZ	NA	-	NA
NA	CDS	97985	98656	-	MGYG000001544_00519	NA	hypothetical protein	NA	-	NA
NA	CDS	14130	14816	+	MGYG000002276_03409	pstA2	Phosphate transport system permease protein PstA 2	NA	ko:K02038	NA
NA	CDS	251323	252387	-	MGYG000002418_03206	NA	putative protein	NA	ko:K06889	NA
NA	CDS	8800	9462	-	MGYG000003989_01164	groL	60 kDa chaperonin	NA	ko:K04077	NA
NA	CDS	63344	64777	+	MGYG000002455_04684	NA	putative type I restriction enzymeP M protein	NA	ko:K03427	NA
NA	CDS	104649	105767	-	MGYG000001693_00932	dapE	Succinyl-diaminopimelate desuccinylase	NA	ko:K01438	NA
NA	CDS	17488	18105	-	MGYG000002342_01358	NA	Phosphoserine phosphatase	NA	ko:K02203	NA
NA	CDS	1763	3127	-	MGYG000001058_00157	NA	hypothetical protein	NA	-	NA
NA	CDS	3443	4348	-	MGYG000003843_01920	lipR	Putative acetyl-hydrolase LipR	NA	ko:K14731	NA
NA	CDS	7601	8896	+	MGYG000002157_00111	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	3077	4084	+	MGYG000000361_00360	NA	hypothetical protein	NA	-	NA
NA	CDS	1519474	1519953	-	MGYG000001358_01566	ruvC	Crossover junction endodeoxyribonuclease RuvC	NA	ko:K01159	NA
NA	CDS	22580	23626	-	MGYG000000230_00661	NA	hypothetical protein	NA	c(""""ko:K05363"""", """"ko:K11693"""", """"ko:K12554"""")	NA
NA	CDS	3456	4607	-	MGYG000000321_01439	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	4059	4940	-	MGYG000004884_01279	rmlA	Glucose-1-phosphate thymidylyltransferase	NA	ko:K00973	NA
NA	CDS	4017	4877	+	MGYG000002923_00584	lptB	Lipopolysaccharide export system ATP-binding protein LptB	NA	ko:K01995	NA
NA	CDS	4883	5902	-	MGYG000003026_00980	mraY	Phospho-N-acetylmuramoyl-pentapeptide-transferase	NA	ko:K01000	NA
NA	CDS	9	227	+	MGYG000002702_00956	gdh	NADP-specific glutamate dehydrogenase	NA	ko:K00262	NA
NA	CDS	30307	30702	-	MGYG000003079_01253	lacR_1	Lactose phosphotransferase system repressor	NA	-	NA
NA	CDS	1865	2869	-	MGYG000002901_00564	iolG_2	Myo-inositol 2-dehydrogenase	NA	ko:K00010	NA
NA	CDS	465048	465257	-	MGYG000002516_00463	NA	hypothetical protein	NA	-	NA
